code,plain_name,source
A4376,"Ostomy pouch, drainable, with faceplate attached, rubber, each",cms_hcpcs_l2
A4377,"Ostomy pouch, drainable, for use on faceplate, plastic, each",cms_hcpcs_l2
A4378,"Ostomy pouch, drainable, for use on faceplate, rubber, each",cms_hcpcs_l2
A4379,"Ostomy pouch, urinary, with faceplate attached, plastic, each",cms_hcpcs_l2
A4380,"Ostomy pouch, urinary, with faceplate attached, rubber, each",cms_hcpcs_l2
A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",cms_hcpcs_l2
A4382,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each",cms_hcpcs_l2
A4383,"Ostomy pouch, urinary, for use on faceplate, rubber, each",cms_hcpcs_l2
A4384,"Ostomy faceplate equivalent, silicone ring, each",cms_hcpcs_l2
A4385,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in",cms_hcpcs_l2
A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece),",cms_hcpcs_l2
A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",cms_hcpcs_l2
A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1",cms_hcpcs_l2
A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in",cms_hcpcs_l2
A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",cms_hcpcs_l2
A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in",cms_hcpcs_l2
A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in",cms_hcpcs_l2
A4394,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid",cms_hcpcs_l2
A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",cms_hcpcs_l2
A4396,Ostomy belt with peristomal hernia support,cms_hcpcs_l2
A4397,"Irrigation supply; sleeve, each",cms_hcpcs_l2
A4398,"Ostomy irrigation supply; bag, each",cms_hcpcs_l2
A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",cms_hcpcs_l2
A4400,Ostomy irrigation set,cms_hcpcs_l2
A4402,"Lubricant, per ounce",cms_hcpcs_l2
A4404,"Ostomy ring, each",cms_hcpcs_l2
A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",cms_hcpcs_l2
A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",cms_hcpcs_l2
A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended",cms_hcpcs_l2
A4408,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,",cms_hcpcs_l2
A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,",cms_hcpcs_l2
A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear,",cms_hcpcs_l2
A4411,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in",cms_hcpcs_l2
A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece",cms_hcpcs_l2
A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece",cms_hcpcs_l2
A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without",cms_hcpcs_l2
A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without",cms_hcpcs_l2
A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",cms_hcpcs_l2
A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with",cms_hcpcs_l2
A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",cms_hcpcs_l2
A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter",cms_hcpcs_l2
A4420,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",cms_hcpcs_l2
A4421,Ostomy supply; miscellaneous,cms_hcpcs_l2
A4422,Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to,cms_hcpcs_l2
